NDC Package Code,category,medication,combo,search_type,search_term,source_file,Proprietary Name,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
0615-8254-05,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,10 mg/1,TABLET,ORAL,ANDA077321,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8254,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,12/27/2018,N/A,ANDA,15 TABLET in 1 BLISTER PACK (0615-8254-05),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0615-8254-39,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,10 mg/1,TABLET,ORAL,ANDA077321,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8254,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,12/27/2018,N/A,ANDA,30 TABLET in 1 BLISTER PACK (0615-8254-39),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0615-8255-05,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,20 mg/1,TABLET,ORAL,ANDA077321,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8255,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,01/03/2019,N/A,ANDA,15 TABLET in 1 BLISTER PACK (0615-8255-05),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0615-8255-39,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,20 mg/1,TABLET,ORAL,ANDA077321,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8255,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,01/02/2019,N/A,ANDA,30 TABLET in 1 BLISTER PACK (0615-8255-39),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0615-8405-05,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,40 mg/1,TABLET,ORAL,ANDA077321,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8405,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,09/02/2021,N/A,ANDA,15 TABLET in 1 BLISTER PACK (0615-8405-05),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0615-8405-39,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,40 mg/1,TABLET,ORAL,ANDA077321,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8405,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,09/02/2021,N/A,ANDA,30 TABLET in 1 BLISTER PACK (0615-8405-39),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0615-8548-39,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,30 mg/1,TABLET,ORAL,ANDA077321,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8548,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,10/15/2024,N/A,ANDA,30 TABLET in 1 BLISTER PACK (0615-8548-39),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0904-6797-61,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,5 mg/1,TABLET,ORAL,ANDA077321,Major Pharmaceuticals,0904-6797,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,01/13/2006,N/A,ANDA,100 BLISTER PACK in 1 CARTON (0904-6797-61)  / 1 TABLET in 1 BLISTER PACK,"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0904-6798-61,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,10 mg/1,TABLET,ORAL,ANDA077321,Major Pharmaceuticals,0904-6798,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,03/07/2017,N/A,ANDA,100 BLISTER PACK in 1 CARTON (0904-6798-61)  / 1 TABLET in 1 BLISTER PACK,"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0904-6799-61,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,20 mg/1,TABLET,ORAL,ANDA077321,Major Pharmaceuticals,0904-6799,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,03/07/2017,N/A,ANDA,100 BLISTER PACK in 1 CARTON (0904-6799-61)  / 1 TABLET in 1 BLISTER PACK,"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
