Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Pepcid Complete,66715-6422-8,"165 mg/1, 10 mg/1, 800 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,"Lil' Drug Store Products, Inc.",66715-6422,"Famotidine, Calcium Carbonate, Magnesium Hydroxide Chewable Tablet",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,04/19/2022,N/A,NDA,"30 POUCH in 1 BOX, UNIT-DOSE (66715-6422-8) / 1 TABLET, CHEWABLE in 1 POUCH","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Pepcid Complete,66715-9822-3,"165 mg/1, 10 mg/1, 800 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,"Lil' Drug Store Products, Inc.",66715-9822,"Famotidine, Calcium Carbonate, Magnesium Hydroxide Chewable Tablet",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,04/07/2022,N/A,NDA,"3 POUCH in 1 CARTON (66715-9822-3) / 1 TABLET, CHEWABLE in 1 POUCH","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Pepcid Complete,66715-9822-2,"165 mg/1, 10 mg/1, 800 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,"Lil' Drug Store Products, Inc.",66715-9822,"Famotidine, Calcium Carbonate, Magnesium Hydroxide Chewable Tablet",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,07/17/2020,N/A,NDA,"2 POUCH in 1 CARTON (66715-9822-2) / 1 TABLET, CHEWABLE in 1 POUCH","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Pepcid Complete,67751-202-01,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Navajo Manufacturing Company Inc,67751-202,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,08/06/2020,N/A,NDA,"1 POUCH in 1 CARTON (67751-202-01) / 1 TABLET, CHEWABLE in 1 POUCH","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Pepcid Complete,67751-202-02,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Navajo Manufacturing Company Inc,67751-202,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,08/06/2020,N/A,NDA,"2 POUCH in 1 CARTON (67751-202-02) / 1 TABLET, CHEWABLE in 1 POUCH","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Pepcid Complete,70264-034-01,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,R J General Corporation,70264-034,"famotidine, calcium carbonate, and magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,12/28/2022,N/A,NDA,"50 TABLET, CHEWABLE in 1 CARTON (70264-034-01)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Pepcid Complete,73097-017-25,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Savings Distributors LLC,73097-017,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,06/01/2026,N/A,NDA,"25 POUCH in 1 CARTON (73097-017-25) / 1 TABLET, CHEWABLE in 1 POUCH","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,85237-1948-2,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Select Consumer Group,85237-1948,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,06/05/2024,N/A,NDA,"2 POUCH in 1 BLISTER PACK (85237-1948-2) / 1 TABLET, CHEWABLE in 1 POUCH (85237-1948-0)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,85237-1948-1,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Select Consumer Group,85237-1948,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,06/05/2024,N/A,NDA,"1 POUCH in 1 BLISTER PACK (85237-1948-1) / 1 TABLET, CHEWABLE in 1 POUCH (85237-1948-0)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,85237-1948-3,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Select Consumer Group,85237-1948,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,06/05/2024,N/A,NDA,"20 POUCH in 1 CARTON (85237-1948-3) / 1 TABLET, CHEWABLE in 1 POUCH (85237-1948-0)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,85237-1948-4,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Select Consumer Group,85237-1948,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,06/05/2024,N/A,NDA,"25 POUCH in 1 CARTON (85237-1948-4) / 1 TABLET, CHEWABLE in 1 POUCH (85237-1948-0)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete Dual Action Berry Flavor,67414-700-01,"10 mg/1, 800 mg/1, 165 mg/1",TABLET,ORAL,NDA020958,"Jones Healthcare Group - Packaging Services, Inc",67414-700,"FAMOTIDINE, CALCIUM CARBONATE, MAGNESIUM HYDROXIDE",FAMOTIDINE; CALCIUM CARBONATE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,07/30/2026,N/A,NDA,1 POUCH in 1 CARTON (67414-700-01) / 50 TABLET in 1 POUCH,"Blood Coagulation Factor [EPC], Calcium [CS], Calculi Dissolution Agent [EPC], Cations, Divalent [CS], Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC], Increased Coagulation Factor Activity [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2027
"Pepcid Complete, TRAVEL BASIX",66715-6522-2,"165 mg/1, 10 mg/1, 800 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,"Lil' Drug Store Products, Inc.",66715-6522,"Famotidine, Calcium Carbonate, Magnesium Hydroxide Chewable Tablet",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,05/06/2022,N/A,NDA,"2 POUCH in 1 CARTON (66715-6522-2) / 1 TABLET, CHEWABLE in 1 POUCH","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
"Pepcid Complete, TRAVEL BASIX",66715-7822-2,"165 mg/1, 10 mg/1, 800 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,"Lil' Drug Store Products, Inc.",66715-7822,"Famotidine, Calcium Carbonate, Magnesium Hydroxide Chewable Tablet",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,11/29/2022,N/A,NDA,"2 POUCH in 1 CARTON (66715-7822-2) / 1 TABLET, CHEWABLE in 1 POUCH","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
