"broad_group","category","medication","combo","raw_files","raw_rows","nonproprietary_rows","proprietary_rows","exact_duplicates_removed","conflicting_ndc_codes","conflicting_rows_retained","missing_ndc_rows","sparse_rows","distinct_ndc_codes","final_master_rows"
"Gastrointestinal_Medication","Antacids","MagnesiumAluminosilicates",FALSE,1,1,1,0,0,0,0,0,0,1,1
"Gastrointestinal_Medication","Antacids","MagnesiumCarbonate",FALSE,1,65,65,0,0,0,0,0,0,65,65
"Gastrointestinal_Medication","Antacids","MagnesiumHydroxide",FALSE,2,449,367,82,75,0,0,0,0,374,374
"Gastrointestinal_Medication","Antacids","MagnesiumOxide",FALSE,1,46,46,0,0,0,0,0,1,46,46
"Gastrointestinal_Medication","Antacids","PotassiumBicarbonate",FALSE,1,11,11,0,0,0,0,0,0,11,11
"Gastrointestinal_Medication","Antacids","PotassiumCarbonate",FALSE,1,29,29,0,0,0,0,0,0,29,29
"Gastrointestinal_Medication","Antacids","SodiumBicarbonate",FALSE,1,349,349,0,0,0,0,0,0,349,349
"Gastrointestinal_Medication","Antacids","Tartrate",FALSE,1,1620,1620,0,0,0,0,0,0,1620,1620
"Gastrointestinal_Medication","Anti_H_Pylori","BismuthSubcitratePotassiumMetronidazoleTetracyclineHydrochloride",TRUE,1,2,0,2,0,0,0,0,0,2,2
"Gastrointestinal_Medication","Anti_H_Pylori","OmeprazoleMagnesiumAmoxicillinRifabutin",TRUE,1,2,0,2,0,0,0,0,0,2,2
"Gastrointestinal_Medication","Anti_H_Pylori","VonoprazanFumarateAmoxicillin",TRUE,1,1,0,1,0,0,0,0,0,1,1
"Gastrointestinal_Medication","Anti_H_Pylori","VonoprazanFumarateAmoxicillinClarithromycin",TRUE,1,1,0,1,0,0,0,0,0,1,1
"Gastrointestinal_Medication","Histamine_2_Receptor_Antagonists","Cimetidine",FALSE,2,81,69,12,12,0,0,0,0,69,69
"Gastrointestinal_Medication","Histamine_2_Receptor_Antagonists","Famotidine",FALSE,3,1183,1095,88,25,62,124,0,0,1096,1158
"Gastrointestinal_Medication","Histamine_2_Receptor_Antagonists","FamotidineCalciumCarbonateMagnesiumHydroxide",TRUE,1,34,0,34,0,0,0,0,0,34,34
"Gastrointestinal_Medication","Histamine_2_Receptor_Antagonists","Nizatidine",FALSE,2,20,17,3,0,0,0,0,0,20,20
"Gastrointestinal_Medication","Histamine_2_Receptor_Antagonists","Ranitidine",FALSE,2,69,53,16,0,0,0,0,0,69,69
"Gastrointestinal_Medication","Histamine_2_Receptor_Antagonists","RanitidineHydrochloride",FALSE,1,5,5,0,0,0,0,0,0,5,5
"Gastrointestinal_Medication","Other_Prescription_Dyspepsia","MetoclopramideHydrochloride",FALSE,3,22,19,3,3,0,0,0,0,19,19
"Gastrointestinal_Medication","Other_Prescription_Dyspepsia","Misoprostol",FALSE,2,128,125,3,3,0,0,0,0,125,125
"Gastrointestinal_Medication","Other_Prescription_Dyspepsia","Sucralfate",FALSE,2,151,148,3,3,0,0,0,0,148,148
"Gastrointestinal_Medication","Other_Prescription_Dyspepsia","VonoprazanFumarate",FALSE,2,8,4,4,4,0,0,0,0,4,4
"Gastrointestinal_Medication","Phenothiazine_Antiemetics","ChlorpromazineHydrochloride",FALSE,1,141,141,0,0,0,0,0,0,141,141
"Gastrointestinal_Medication","Phenothiazine_Antiemetics","Perphenazine",FALSE,1,137,137,0,0,0,0,0,0,137,137
"Gastrointestinal_Medication","Phenothiazine_Antiemetics","Prochlorperazine",FALSE,1,148,148,0,0,0,0,0,0,148,148
"Gastrointestinal_Medication","Phenothiazine_Antiemetics","ProchlorperazineEdisylate",FALSE,1,26,26,0,0,0,0,0,0,26,26
"Gastrointestinal_Medication","Phenothiazine_Antiemetics","ProchlorperazineMaleate",FALSE,2,119,116,3,0,0,0,0,0,119,119
"Gastrointestinal_Medication","Phenothiazine_Antiemetics","PromethazineHydrochloride",FALSE,2,362,355,7,4,0,0,0,0,358,358
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","Dexlansoprazole",FALSE,2,61,47,14,14,0,0,0,0,47,47
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","EsomeprazoleMagnesium",FALSE,3,600,567,33,33,0,0,0,0,567,567
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","EsomeprazoleSodium",FALSE,1,4,4,0,0,0,0,0,0,4,4
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","EsomeprazoleStrontium",FALSE,1,2,2,0,0,0,0,0,0,2,2
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","Lansoprazole",FALSE,2,312,304,8,8,0,0,0,0,304,304
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","Omeprazole",FALSE,2,1134,1117,17,0,17,34,1,0,1116,1133
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","OmeprazoleMagnesium",FALSE,2,658,643,15,15,0,0,0,0,643,643
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","OmeprazoleSodiumBicarbonate",TRUE,1,8,0,8,0,0,0,0,0,8,8
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","PantoprazoleSodium",FALSE,2,245,235,10,10,0,0,0,0,235,235
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","RabeprazoleSodium",FALSE,2,105,104,1,1,0,0,0,0,104,104
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Adalimumab",FALSE,2,185,162,23,23,0,0,0,0,162,162
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","AdalimumabAacf",FALSE,1,3,0,3,0,0,0,0,0,3,3
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","AdalimumabAaty",FALSE,1,5,0,5,0,0,0,0,0,5,5
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","AdalimumabAdaz",FALSE,1,18,0,18,0,0,0,0,0,18,18
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","AdalimumabAdbm",FALSE,1,6,0,6,0,0,0,0,0,6,6
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","AdalimumabAfzb",FALSE,1,6,0,6,0,0,0,0,0,6,6
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","AdalimumabAqvh",FALSE,1,4,0,4,0,0,0,0,0,4,4
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","AdalimumabAtto",FALSE,1,30,0,30,0,0,0,0,0,30,30
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","AdalimumabBwwd",FALSE,1,9,0,9,0,0,0,0,0,9,9
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","AdalimumabFkjp",FALSE,1,2,0,2,0,0,0,0,0,2,2
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","AdalimumabRyvk",FALSE,1,7,0,7,0,0,0,0,0,7,7
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","BalsalazideDisodium",FALSE,1,14,14,0,0,0,0,0,2,14,14
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Budesonide",FALSE,2,129,125,4,4,0,0,0,0,125,125
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Etrasimod",FALSE,1,1,1,0,0,0,0,0,0,1,1
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","EtrasimodArginine",FALSE,1,1,0,1,0,0,0,0,0,1,1
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Golimumab",FALSE,2,20,10,10,10,0,0,0,0,10,10
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Guselkumab",FALSE,2,20,10,10,10,0,0,0,0,10,10
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Hydrocortisone",FALSE,1,904,904,0,0,0,0,0,0,904,904
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","HydrocortisoneAcetate",FALSE,1,157,157,0,0,0,0,0,0,157,157
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","HydrocortisoneRectal",FALSE,2,3,0,3,0,0,0,0,0,3,3
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Infliximab",FALSE,2,20,19,1,1,0,0,0,0,19,19
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","InfliximabAbda",FALSE,1,1,0,1,0,0,0,0,0,1,1
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","InfliximabAxxq",FALSE,1,2,0,2,0,0,0,0,0,2,2
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","InfliximabDyyb",FALSE,2,14,0,14,0,0,0,0,0,14,14
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Mesalamine",FALSE,6,101,88,13,13,0,0,0,0,88,88
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","MirikizumabMrkz",FALSE,1,10,0,10,0,0,0,0,0,10,10
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","OlsalazineSodium",FALSE,2,2,1,1,1,0,0,0,0,1,1
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","OzanimodHydrochloride",FALSE,2,10,5,5,5,0,0,0,0,5,5
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","RisankizumabRzaa",FALSE,1,16,0,16,0,0,0,0,0,16,16
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Sulfasalazine",FALSE,2,32,28,4,4,0,0,0,0,28,28
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Tofacitinib",FALSE,2,87,77,10,10,0,0,0,0,77,77
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Upadacitinib",FALSE,2,16,8,8,8,0,0,0,0,8,8
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Ustekinumab",FALSE,2,67,60,7,7,0,0,0,0,60,60
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","UstekinumabAauz",FALSE,1,4,0,4,0,0,0,0,0,4,4
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","UstekinumabAekn",FALSE,1,5,0,5,0,0,0,0,0,5,5
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","UstekinumabAuub",FALSE,1,7,0,7,0,0,0,0,0,7,7
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","UstekinumabHmny",FALSE,1,4,0,4,0,0,0,0,0,4,4
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","UstekinumabKfce",FALSE,1,4,0,4,0,0,0,0,0,4,4
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","UstekinumabSrlf",FALSE,1,3,0,3,0,0,0,0,0,3,3
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","UstekinumabStba",FALSE,1,4,0,4,0,0,0,0,0,4,4
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","UstekinumabTtwe",FALSE,1,8,0,8,0,0,0,0,0,8,8
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Vedolizumab",FALSE,2,6,3,3,3,0,0,0,0,3,3
"Metabolic_and_Related_Medication","Anorexiants","BenzphetamineHydrochloride",FALSE,1,27,27,0,0,0,0,0,0,27,27
